file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,187,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,0
style.css,188,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,31
style.css,189,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,21
style.css,190,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,58
style.css,191,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,63
style.css,192,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,51
style.css,193,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,45
style.css,194,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,0
style.css,195,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,0
style.css,196,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,30
style.css,197,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,22
style.css,198,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,42
style.css,199,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,71
style.css,200,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,39
style.css,201,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,54
style.css,202,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,39
style.css,203,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,0
style.css,204,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,0
style.css,205,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,24
style.css,206,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,57
style.css,207,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,74
style.css,208,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,21
style.css,209,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,26
style.css,210,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,20
style.css,211,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,37
style.css,212,css,6972b48e,sebastianferragut,2025-01-31,11:41:11,-08:00,2025-01-31T11:41:11-08:00,0,20
